Year,Abbotsford,Albert Park,Alphington,Altona,Armadale,Ascot Vale,Ashburton,Aspendale,Avondale Heights,Balwyn,Bayswater,Beaumaris,Bentleigh,Berwick,Blackburn,Boronia,Box Hill,Brighton,Brighton East,Broadmeadows,Brunswick,Bulleen,Bundoora,Burwood,Burwood East,Camberwell,Canterbury,Carlton,Carlton North,Carnegie,Carrum,Carrum Downs,Caulfield,Chadstone,Chelsea,Cheltenham,Clayton,Clifton Hill,Coburg,Coburg North,Collingwood,Craigieburn,Cranbourne,Croydon,Dandenong,Dandenong North,Deer Park,Doncaster,Doncaster East,Donvale,Dromana,East Melbourne,Elsternwick,Eltham,Elwood,Endeavour Hills,Epping,Essendon,Fairfield,Fawkner,Ferntree Gully,Fitzroy,Fitzroy North,Flemington,Flinders,Footscray,Forest Hill,Frankston,Gladstone Park,Glen Iris,Glen Waverley,Glenroy,Greensborough,Hampton,Hampton Park,Hastings,Hawthorn,Heidelberg,Heidelberg West,Hoppers Crossing,Hughesdale,Hurstbridge,Ivanhoe,Ivanhoe East,Keilor,Keilor East,Kensington,Kew,Lalor,Lilydale,Malvern,Malvern East,Melton,Mentone,Middle Park,Mill Park,Mitcham,Mont Albert,Montmorency,Moonee Ponds,Mordialloc,Mornington,Mount Waverley,Mulgrave,Murrumbeena,Narre Warren,Newport,Noble Park,North Melbourne,Northcote,Nunawading,Oak Park,Oakleigh,Pakenham,Parkdale,Parkville,Pascoe Vale,Pascoe Vale South,Port Melbourne,Portsea,Prahran,Preston,Research,Reservoir,Richmond,Ringwood,Rowville,Roxburgh Park,Scoresby,Seaford,Seddon,South Melbourne,South Yarra,Spotswood,Springvale,St Albans,St Kilda,Sunbury,Sunshine,Surrey Hills,Sydenham,Templestowe,Thomastown,Thornbury,Toorak,Tullamarine,Vermont,Wantirna,Werribee,West Footscray,West Melbourne,Whittlesea,Williamstown,Windsor,Yarraville
2010,695,961,551,3082,609,1199,923,1392,960,798,454,979,1606,1234,606,599,1426,726,339,1093,1693,1124,2296,923,668,1435,663,3283,499,931,1392,1509,1657,928,1392,1249,1659,880,1083,745,695,709,1274,1939,1438,1204,1841,1124,831,831,1651,644,574,683,1724,1204,1666,1574,551,1267,439,627,880,1237,964,1011,668,2744,503,1435,1581,1267,2296,979,1788,964,1822,987,987,4387,749,2296,537,537,64,960,1237,1059,765,1939,432,819,1578,1190,961,1666,700,663,683,1199,1190,1341,772,1581,749,1788,653,1162,1519,949,700,1267,928,1791,1190,3283,745,1083,1369,1651,1825,1173,683,1617,2115,1204,445,1093,687,1509,1067,692,2468,653,1248,1841,2612,728,1227,663,1941,1124,765,942,720,503,668,687,4387,956,1519,282,503,1825,1067
2011,774,915,567,3639,643,1242,994,1470,1019,814,529,1047,1700,1260,689,643,1585,792,337,1211,1852,1214,2617,994,741,1540,692,3412,529,1038,1470,1704,1745,963,1470,1314,1814,904,1225,879,774,894,1518,2041,1650,1247,1939,1214,834,834,1663,568,578,689,1751,1247,1872,1725,567,1444,478,677,904,1376,977,1103,741,2665,564,1540,1673,1444,2617,1047,1899,977,1984,1009,1009,4778,780,2617,517,517,58,1019,1376,1070,909,2041,414,920,1975,1214,915,1872,729,692,689,1242,1214,1284,802,1673,780,1899,708,1270,1753,1003,729,1444,963,1951,1214,3412,879,1225,1304,1663,1914,1223,689,1764,2049,1273,469,1211,722,1704,1113,771,2618,708,1412,1939,2662,783,1371,692,2021,1214,909,1021,776,564,741,722,4778,1145,1753,403,492,1914,1113
2012,721,973,644,4305,606,1346,999,1561,1036,872,575,1169,1836,1352,712,719,1710,803,377,1294,1972,1435,3040,999,784,1628,706,3835,488,1030,1561,1847,1766,1032,1561,1338,1745,1049,1350,907,721,1205,1709,2098,1798,1261,2035,1435,843,843,1801,509,685,722,1766,1261,2081,1895,644,1586,560,697,1049,1407,1100,1244,784,2814,640,1628,1774,1586,3040,1169,2069,1100,2176,1096,1096,5587,776,3040,516,516,76,1036,1407,1109,1053,2098,419,1006,2154,1416,973,2081,763,706,722,1346,1416,1371,791,1774,776,2069,723,1337,2013,1090,763,1586,1032,2362,1416,3835,907,1350,1353,1801,1955,1426,722,1869,2458,1394,454,1294,820,1847,1125,742,3232,723,1524,2035,2842,898,1457,706,1973,1435,1053,1116,761,640,784,820,5587,1226,2013,630,509,1955,1125
2013,831,973,653,4243,628,1339,1011,1506,1248,879,567,1150,1841,1423,739,776,1729,809,433,1433,1978,1448,3089,1011,837,1646,712,3832,515,1076,1506,1938,1992,1074,1506,1505,1985,1043,1318,1003,831,1342,1787,2196,1911,1331,2178,1448,849,849,1941,518,625,726,1842,1331,2163,1974,653,1659,515,691,1043,1620,1123,1294,837,2772,642,1646,1679,1659,3089,1150,2055,1123,2319,1104,1104,4948,839,3089,496,496,77,1248,1620,1163,1062,2196,502,1057,2054,1482,973,2163,921,712,726,1339,1482,1479,810,1679,839,2055,733,1432,2023,1143,921,1659,1074,2318,1482,3832,1003,1318,1528,1941,2511,1450,726,2030,2644,1411,458,1433,816,1938,1149,931,3357,733,1597,2178,3031,943,1544,712,2196,1448,1062,1052,805,642,837,816,4948,1358,2023,847,548,2511,1149
2014,1552,1013,671,4175,671,1389,1215,1465,1310,875,608,1182,1864,1479,779,715,1856,934,407,1380,1937,1397,3173,1215,831,1723,761,4275,539,1126,1465,1906,2148,983,1465,1622,2020,1089,1383,1047,1552,1467,1974,2220,1879,1306,2002,1397,871,871,1933,534,611,704,1850,1306,2181,2021,671,1652,514,692,1089,1557,1117,1343,831,2885,610,1723,1833,1652,3173,1182,2090,1117,2449,1149,1149,4623,855,3173,545,545,79,1310,1557,1177,1070,2220,497,1059,1891,1444,1013,2181,904,761,704,1389,1444,1447,874,1833,855,2090,758,1445,2145,1277,904,1652,983,2217,1444,4275,1047,1383,1438,1933,2665,1413,704,1968,2735,1413,479,1380,818,1906,1185,1181,3600,758,1507,2002,3080,956,1477,761,2267,1397,1070,1070,813,610,831,818,4623,1363,2145,888,562,2665,1185
2015,1705,930,648,4293,666,1470,1173,1436,1408,905,597,1320,1939,1568,770,712,1893,911,387,1423,2090,1511,3138,1173,858,1848,750,4871,542,1171,1436,1727,2056,1062,1436,1631,2057,1098,1350,1100,1705,1606,2410,2309,2166,1314,2031,1511,937,937,1937,506,666,726,1874,1314,2179,2141,648,1711,513,702,1098,1582,1071,1457,858,2876,655,1848,1870,1711,3138,1320,2199,1071,2374,1270,1270,4854,891,3138,563,563,66,1408,1582,1203,1072,2309,496,1118,1881,1474,930,2179,960,750,726,1470,1474,1355,914,1870,891,2199,762,1438,2475,1281,960,1711,1062,2219,1474,4871,1100,1350,1405,1937,2659,1510,726,2010,2771,1458,547,1423,940,1727,1229,1073,3717,762,1558,2031,3007,950,1528,750,2256,1511,1072,1173,769,655,858,940,4854,1439,2475,1005,568,2659,1229
2016,2139,958,703,4587,662,1577,1213,1468,1457,981,667,1274,2118,1660,893,780,2132,955,428,1652,2007,1764,3387,1213,892,1913,746,5206,532,1226,1468,1666,2076,1060,1468,1736,2100,1170,1363,1173,2139,1753,2496,2449,2269,1321,2034,1764,1040,1040,1906,494,666,751,1802,1321,2237,2296,703,1817,552,775,1170,1541,955,1367,892,2831,586,1913,1985,1817,3387,1274,2212,955,2427,1226,1226,4921,925,3387,613,613,66,1457,1541,1212,1112,2449,525,1098,1943,1467,958,2237,1023,746,751,1577,1467,1354,1017,1985,925,2212,798,1483,2749,1331,1023,1817,1060,2098,1467,5206,1173,1363,1391,1906,2659,1660,751,2057,2757,1594,552,1652,1123,1666,1247,1043,4107,798,1644,2034,3120,902,1527,746,2221,1764,1112,1202,796,586,892,1123,4921,1499,2749,1249,585,2659,1247
2017,1939,896,664,4955,781,1597,1335,1489,1475,1151,703,1225,2118,1817,963,807,2262,963,430,1738,1964,2018,3363,1335,962,1910,754,4690,491,1226,1489,1760,2296,1188,1489,1831,1998,1117,1447,1240,1939,1903,3031,2500,2233,1354,2098,2018,1047,1047,1910,524,723,695,1741,1354,2204,2381,664,1917,604,627,1117,1490,900,1403,962,2757,585,1910,1962,1917,3363,1225,2324,900,2397,1340,1340,5453,843,3363,776,776,66,1475,1490,1238,1119,2500,505,1192,2193,1451,896,2204,981,754,695,1597,1451,1329,999,1962,843,2324,815,1434,2838,1392,981,1917,1188,2216,1451,4690,1240,1447,1336,1910,2500,1699,695,2098,2823,1634,543,1738,1156,1760,1203,1071,3795,815,1718,2098,3109,898,1497,754,2167,2018,1119,1189,779,585,962,1156,5453,1448,2838,1308,555,2500,1203
2018,1860,911,703,4914,916,1537,1421,1451,1437,1015,676,1231,2338,2072,944,871,2682,933,415,1750,2043,2059,3317,1421,951,1896,783,4422,507,1270,1451,1779,2260,1180,1451,1917,1977,1017,1429,1290,1860,2004,3574,2395,2141,1383,2031,2059,1031,1031,1987,474,723,692,1631,1383,2128,2340,703,2017,614,643,1017,1576,806,1457,951,2834,619,1896,1984,2017,3317,1231,2425,806,2244,1416,1416,6357,910,3317,726,726,62,1437,1576,1231,1117,2395,491,1142,2357,1457,911,2128,972,783,692,1537,1457,1267,979,1984,910,2425,808,1436,2776,1420,972,2017,1180,2230,1457,4422,1290,1429,1336,1987,2426,1630,692,2119,2787,1632,567,1750,1172,1779,1277,1240,3601,808,1816,2031,2834,953,1520,783,2249,2059,1117,1191,772,619,951,1172,6357,1399,2776,1229,571,2426,1277
2019,1945,876,675,5215,768,1833,1378,1497,1541,1031,687,1210,2521,2187,901,851,2546,985,427,1731,2039,2201,3312,1378,1008,1826,749,4474,496,1317,1497,1822,2310,1204,1497,1978,2097,1112,1422,1259,1945,2376,4047,2473,2129,1389,1906,2201,1099,1099,1938,571,662,658,1619,1389,2117,2328,675,2017,632,644,1112,1604,826,1381,1008,2697,638,1826,1955,2017,3312,1210,2489,826,2157,1383,1383,7150,934,3312,736,736,59,1541,1604,1156,1130,2473,496,1419,2529,1446,876,2117,977,749,658,1833,1446,1243,1022,1955,934,2489,840,1414,2762,1337,977,2017,1204,2298,1446,4474,1259,1422,1227,1938,2439,1584,658,2133,2984,1652,601,1731,1208,1822,1269,1118,3651,840,1871,1906,2862,910,1551,749,2386,2201,1130,1082,751,638,1008,1208,7150,1401,2762,1368,577,2439,1269
