Year,Abbotsford,Albert Park,Alphington,Altona,Armadale,Ascot Vale,Ashburton,Aspendale,Avondale Heights,Balwyn,Bayswater,Beaumaris,Bentleigh,Berwick,Blackburn,Boronia,Box Hill,Brighton,Brighton East,Broadmeadows,Brunswick,Bulleen,Bundoora,Burwood,Burwood East,Camberwell,Canterbury,Carlton,Carlton North,Carnegie,Carrum,Carrum Downs,Caulfield,Chadstone,Chelsea,Cheltenham,Clayton,Clifton Hill,Coburg,Coburg North,Collingwood,Craigieburn,Cranbourne,Croydon,Dandenong,Dandenong North,Deer Park,Doncaster,Doncaster East,Donvale,Dromana,East Melbourne,Elsternwick,Eltham,Elwood,Endeavour Hills,Epping,Essendon,Fairfield,Fawkner,Ferntree Gully,Fitzroy,Fitzroy North,Flemington,Flinders,Footscray,Forest Hill,Frankston,Gladstone Park,Glen Iris,Glen Waverley,Glenroy,Greensborough,Hampton,Hampton Park,Hastings,Hawthorn,Heidelberg,Heidelberg West,Hoppers Crossing,Hughesdale,Hurstbridge,Ivanhoe,Ivanhoe East,Keilor,Keilor East,Kensington,Kew,Lalor,Lilydale,Malvern,Malvern East,Melton,Mentone,Middle Park,Mill Park,Mitcham,Mont Albert,Montmorency,Moonee Ponds,Mordialloc,Mornington,Mount Waverley,Mulgrave,Murrumbeena,Narre Warren,Newport,Noble Park,North Melbourne,Northcote,Nunawading,Oak Park,Oakleigh,Pakenham,Parkdale,Parkville,Pascoe Vale,Pascoe Vale South,Port Melbourne,Portsea,Prahran,Preston,Research,Reservoir,Richmond,Ringwood,Rowville,Roxburgh Park,Scoresby,Seaford,Seddon,South Melbourne,South Yarra,Spotswood,Springvale,St Albans,St Kilda,Sunbury,Sunshine,Surrey Hills,Sydenham,Templestowe,Thomastown,Thornbury,Toorak,Tullamarine,Vermont,Wantirna,Werribee,West Footscray,West Melbourne,Whittlesea,Williamstown,Windsor,Yarraville
2010,413,430,313,321,364,355,358,328,335,426,296,478,379,334,356,310,343,550,530,303,353,389,332,358,362,387,408,340,441,317,328,287,368,358,328,365,330,435,351,325,413,318,291,311,269,289,279,389,378,378,269,413,355,346,360,289,325,325,313,313,313,451,435,365,276,298,362,275,300,387,381,313,332,478,308,276,344,329,329,278,343,332,351,351,350,335,365,408,295,311,393,350,253,323,430,325,333,408,346,355,323,343,383,381,343,308,353,283,375,395,333,313,358,289,323,340,325,351,491,269,374,338,346,298,440,313,360,303,348,287,348,471,385,353,300,279,353,288,275,408,318,389,295,303,400,300,362,348,278,300,375,333,384,374,348
2011,432,445,323,330,383,376,366,350,348,450,317,490,398,350,375,323,350,578,577,313,378,401,348,366,379,405,411,340,465,331,350,305,383,373,350,381,343,455,360,340,432,330,316,333,280,300,288,401,395,395,288,443,370,361,382,300,331,336,323,328,325,473,455,375,298,308,379,293,313,405,399,328,348,490,323,298,350,341,341,287,350,348,373,373,345,348,375,430,300,333,396,368,266,340,445,331,350,411,361,376,340,365,395,399,350,323,368,291,400,410,350,328,373,305,340,340,340,360,523,288,390,350,361,311,455,325,380,313,359,305,350,480,396,368,309,288,370,304,280,411,330,401,300,305,415,313,379,359,287,309,400,350,424,390,350
2012,450,460,329,330,385,389,391,355,350,455,320,500,400,350,380,328,355,598,598,313,394,403,349,391,384,418,420,340,495,343,355,310,394,375,355,390,350,465,370,346,450,329,326,340,288,300,290,403,400,400,294,457,390,364,391,300,331,350,329,327,323,486,465,381,300,321,384,297,323,418,408,327,349,500,330,300,349,349,349,290,358,349,391,391,355,350,381,448,305,340,411,371,270,350,460,331,353,420,364,389,350,374,400,408,358,330,389,293,384,430,353,327,375,309,350,340,346,370,543,294,395,352,364,313,459,333,391,313,366,310,368,500,408,389,319,290,380,310,286,420,330,403,305,335,449,323,384,366,290,320,384,335,431,395,368
2013,460,462,343,339,395,386,400,357,364,460,326,495,405,350,380,333,353,628,582,310,400,416,340,400,387,425,428,347,493,350,357,317,389,381,357,379,346,489,379,340,460,320,334,341,294,305,294,416,415,415,300,460,390,365,391,305,330,350,343,323,336,495,489,384,301,324,387,300,320,425,419,323,340,495,330,301,351,350,350,290,363,340,385,385,370,364,384,450,308,341,409,368,270,356,462,330,359,428,365,386,356,385,411,419,363,330,394,300,393,436,359,323,381,304,356,347,340,379,525,300,383,355,365,320,474,334,399,310,373,317,379,498,409,394,320,294,380,316,292,428,340,416,308,330,444,320,387,373,290,320,393,330,450,383,379
2014,439,473,349,350,394,385,398,369,370,466,338,511,423,358,388,340,364,600,578,320,400,428,349,398,398,425,446,352,515,353,369,320,392,390,369,392,353,495,381,350,439,330,345,351,303,316,303,428,425,425,310,463,396,379,393,316,330,350,349,333,344,506,495,389,315,330,398,304,330,425,425,333,349,511,338,315,355,360,360,299,364,349,399,399,373,370,389,448,315,351,433,378,277,364,473,330,370,446,379,385,364,394,423,425,364,338,410,301,395,448,370,333,390,313,364,352,350,381,531,310,389,364,379,322,474,346,400,320,380,320,398,500,405,410,329,303,379,320,300,446,350,428,315,342,451,330,398,380,299,328,395,330,447,389,398
2015,435,493,345,357,400,393,405,379,374,493,346,495,430,369,391,350,376,633,600,327,408,443,354,405,410,430,448,366,530,364,379,329,400,400,379,403,361,500,394,355,435,333,351,361,309,321,310,443,448,448,324,465,399,398,399,321,335,357,345,344,353,506,500,396,321,330,410,315,335,430,439,344,354,495,342,321,366,360,360,310,385,354,414,414,377,374,396,471,320,361,448,387,283,374,493,335,373,448,398,393,374,409,443,439,385,342,434,313,398,450,373,344,400,319,374,366,355,394,543,324,400,373,398,330,478,358,405,327,395,329,411,497,420,434,343,310,380,328,310,448,359,443,320,353,451,335,410,395,310,335,398,339,453,400,411
2016,448,515,368,371,403,400,426,393,386,502,350,517,444,380,406,353,395,593,634,333,423,450,360,426,420,443,450,373,526,381,393,344,416,415,393,420,370,503,400,369,448,344,364,374,319,331,320,450,453,453,340,476,396,403,405,331,345,370,368,350,370,514,503,400,338,346,420,329,344,443,453,350,360,517,353,338,373,373,373,325,394,360,425,425,402,386,400,475,329,374,461,398,296,386,515,345,385,450,403,400,386,425,460,453,394,353,448,321,404,448,385,350,415,331,386,373,369,400,553,340,399,383,403,341,488,366,420,333,400,344,425,500,441,448,353,320,396,331,318,450,366,450,329,364,463,344,420,400,325,355,404,345,479,399,425
2017,458,528,383,385,445,418,441,408,398,500,363,538,465,390,415,365,404,616,652,346,443,456,374,441,431,459,476,398,545,403,408,353,440,431,408,443,385,525,420,394,458,353,376,384,333,344,335,456,470,470,360,496,415,420,420,344,355,388,383,365,386,531,525,411,355,361,431,344,360,459,465,365,374,538,363,355,381,393,393,341,405,374,448,448,406,398,411,487,343,384,460,410,315,399,528,355,396,476,420,418,399,450,468,465,405,363,461,335,423,466,396,365,431,343,399,398,394,420,573,360,414,396,420,353,503,381,439,346,420,353,450,511,450,461,368,335,408,345,334,476,381,456,343,384,483,360,431,420,341,366,423,355,485,414,450
2018,479,563,405,398,486,438,458,428,414,518,379,560,488,398,430,384,435,645,680,365,456,478,390,458,450,489,495,417,567,421,428,366,451,449,428,451,400,550,441,403,479,373,380,399,345,353,349,478,479,479,375,503,426,445,435,353,368,400,405,383,399,559,550,423,373,371,450,356,378,489,479,383,390,560,374,373,399,411,411,360,421,390,454,454,435,414,423,500,355,399,483,429,329,419,563,368,417,495,445,438,419,464,488,479,421,374,474,349,445,494,417,383,449,350,419,417,403,441,609,375,434,416,445,368,516,393,446,365,435,366,464,524,466,474,381,349,420,363,345,495,395,478,355,414,500,378,450,435,360,380,445,373,504,434,464
2019,495,568,444,400,481,445,468,440,420,540,389,584,503,396,444,390,448,651,700,370,473,489,400,468,455,500,513,432,579,435,440,370,473,458,440,463,415,565,450,418,495,385,386,408,350,360,354,489,494,494,381,516,448,450,450,360,371,411,444,395,403,591,565,440,388,383,455,362,386,500,498,395,400,584,380,388,408,420,420,370,431,400,463,463,435,420,440,515,360,408,496,459,340,424,568,371,424,513,450,445,424,485,513,498,431,380,488,355,450,500,424,395,458,353,424,432,418,450,613,381,444,425,450,380,525,400,450,370,441,370,485,543,485,488,394,354,429,376,355,513,400,489,360,421,500,386,455,441,370,395,450,383,519,444,485
2020,483,574,435,400,499,431,458,443,415,553,390,591,501,399,435,393,440,685,737,370,473,481,400,458,460,497,515,400,589,437,443,378,470,458,443,471,416,553,453,420,483,390,390,415,350,360,359,481,496,496,393,528,448,456,448,360,379,414,435,400,418,564,553,440,405,383,460,371,391,497,499,400,400,591,380,405,413,421,421,369,436,400,467,467,413,415,440,519,363,415,475,434,346,436,574,379,421,515,456,431,436,495,509,499,436,380,498,360,446,500,421,400,458,354,436,400,420,453,603,393,445,423,456,383,519,413,453,370,443,378,491,520,461,498,397,359,420,374,360,515,400,481,363,423,525,391,460,443,369,403,446,390,525,445,491
