Locality	Lat	Lng
Abbotsford	-37.8037161	144.994848
Albert Park	-37.8453709	144.9520263
Alphington	-37.7781093	145.0147102
Altona	-37.8632514	144.7877007
Armadale	-37.8576843	145.0106796
Ascot Vale	-37.7798472	144.907691
Ashburton	-37.8670487	145.0688614
Aspendale	-38.0220338	145.0838767
Avondale Heights	-37.7629567	144.8474023
Balwyn	-37.8097017	145.0743641
Bayswater	-31.9140166	115.8985912
Beaumaris	-37.9919825	145.0270083
Bentleigh	-37.9227674	145.0199013
Berwick	-38.0420921	145.3143547
Blackburn	-37.8215461	145.134521
Boronia	-37.8538153	145.2666617
Box Hill	-37.8215001	145.1174221
Brighton	-37.9080256	144.9593374
Brighton East	-37.9164226	145.0019317
Broadmeadows	-37.6788862	144.9126307
Brunswick	-37.7666905	144.9453454
Bulleen	-37.7669906	145.0682015
Bundoora	-37.7028204	145.0294733
Burwood	-33.8783812	151.0953698
Burwood East	-37.8537243	145.1415801
Camberwell	-37.835636	145.058137
Canterbury	-37.8341561	145.0246103
Carlton	-37.8000912	144.9583385
Carlton North	-37.785634	144.9597558
Carnegie	-37.8937582	145.0385649
Carrum	-38.0771281	145.1192676
Carrum Downs	-38.0970789	145.1409602
Caulfield	-37.8840171	145.0178017
Chadstone	-37.8828617	145.0913041
Chelsea	-37.8828406	145.0300184
Cheltenham	-37.9619539	145.0427082
Clayton	-37.9152676	145.1120588
Clifton Hill	-37.7892981	144.9880853
Coburg	-37.7449263	144.9471847
Coburg North	-37.7270736	144.9588931
Collingwood	-37.7528229	144.8879607
Craigieburn	-37.5813717	144.8875247
Cranbourne	-38.1127775	145.2372954
Croydon	-38.1127775	145.2372954
Dandenong	-37.9855947	145.1963796
Dandenong North	-37.955069	145.1970302
Deer Park	-37.7670331	144.7575212
Doncaster	-37.7830314	145.1049815
Doncaster East	-37.7757999	145.1282614
Donvale	-37.7866982	145.1595134
Dromana	-38.3317588	144.9659361
East Melbourne	-37.815423	144.972592
Elsternwick	-37.8867995	144.9885886
Eltham	-37.714639	145.1282746
Elwood	-37.8810177	144.9682484
Endeavour Hills	-37.968999	145.2208299
Epping	-37.6383583	144.9744735
Essendon	-37.6382703	144.869407
Fairfield	-37.78443	144.996767
Fawkner	-37.7048138	144.9518916
Ferntree Gully	-37.8861732	145.2645696
Fitzroy	-37.8009169	144.9704107
Fitzroy North	-37.7834471	144.9681604
Flemington	-37.7872726	144.912677
Flinders	-37.7872671	144.8864122
Footscray	-37.8008278	144.8803823
Forest Hill	-37.8413815	145.1535217
Frankston	-38.1508727	145.1064022
Gladstone Park	-37.6925391	144.877187
Glen Iris	-37.8564679	145.0501193
Glen Waverley	-37.8823169	145.1366046
Glenroy	-37.7040967	144.9111298
Greensborough	-37.6997663	145.0837108
Hampton	-37.9378508	144.9999242
Hampton Park	-38.042292	145.2326122
